Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp
Teresa Abilleira,es ESP,MF,Real Madrid,22-333,2000,9,7,648,3,1,3,0,0,0,0,1.2,1.2,1.1,46f75f0c,54582b93,15,6,0.20,0.50,24.2,2,0.08,+1.8,+1.8,384,478,7624,2570,0.8,-0.1,12,64,5,1,38,30,22,8,0,0,0,0,5,4,1,0,0,0,0,21,15,4,12,5,8,12,4,5,0,5,4,25,2,0,552,8,122,332,103,3,552,7,10,15,6,366,10,72,85,5,2,27,1,2.44,26,8,+18,+1.43,12.6,7.6,+5.0,+0.32,0,15,13,0,18,15,0,0,0,52,4,5,0
Jessica Aby,ci CIV,"FW,MF",Alavés,24-175,1998,10,4,383,1,0,1,0,0,3,0,1.2,1.2,0.2,72c566fe,aa11fb42,4,3,0.25,0.33,11.9,0,0.29,-0.2,-0.2,66,111,1084,213,0.2,-0.2,6,7,0,0,6,7,6,0,0,0,0,1,0,0,0,0,0,0,0,13,7,5,5,3,3,5,2,1,0,1,3,16,8,0,156,8,39,75,46,12,156,4,7,12,6,94,12,38,63,0,6,22,1,0.60,4,13,-9,-0.04,4.7,8.5,-3.8,+0.69,0,19,8,2,3,7,0,0,0,21,6,11,0
Charity Adule,,FW,Alhama,29-031,1993,1,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,67a39a11,e9fecaf2,0,0,,,,0,,0.0,0.0,1,1,6,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,1,0,0,1,0,14,,0,1,14,,0.00,0,0,0,+1.57,0.1,0.2,-0.1,+0.03,0,0,0,0,0,0,0,0,0,0,0,2,0
Júlia Aguado,,"FW,MF",Levante,22-220,2000,5,0,50,3,0,3,0,0,0,0,1.8,1.8,0.0,a097ef45,0f4738a8,4,4,0.75,0.75,9.3,0,0.45,+1.2,+1.2,7,11,69,10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,13,6,18,0,3,1,0,16,5,10,,0,5,10,5,2.60,4,0,+4,+6.05,2.6,0.1,+2.5,+3.32,0,2,0,2,0,0,0,0,0,2,1,0,0
Yolanda Aguirre,es ESP,GK,Sevilla,24-046,1998,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,150b2d3b,215d9026,0,0,,,,0,,0.0,0.0,75,111,2089,1461,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,129,116,128,1,0,0,129,0,0,0,0,35,0,90,90,4,0,,7,0.75,7,10,-3,-1.04,5.1,7.3,-2.1,-1.31,0,0,1,0,0,0,0,0,1,2,1,1,0
Rasheedat Ajibade,ng NGA,FW,Atlético Madrid,23-000,1999,11,8,706,4,1,4,0,0,0,0,6.3,6.3,0.8,77448ed7,b56c2667,36,17,0.11,0.24,13.4,0,0.18,-2.3,-2.3,126,200,2087,551,1.1,+0.2,8,14,8,3,14,26,17,1,3,2,3,0,3,2,0,0,0,1,0,8,4,2,4,2,1,3,2,6,0,6,3,11,0,0,307,1,18,108,186,62,307,15,23,35,25,246,57,64,80,4,3,23,,2.09,17,11,+6,+0.13,14.6,7.2,+7.3,-0.05,0,11,16,7,19,4,1,0,0,39,7,4,0
Henriette Akaba,cm CMR,DF,Levante Planas,30-184,1992,1,0,7,0,0,0,0,0,0,0,0.2,0.2,0.0,e938c5ba,753b93a5,2,0,0.00,,10.6,0,0.08,-0.2,-0.2,1,1,11,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,3,0,0,0,0,2,0,7,,0,1,7,6,0.00,0,0,0,+1.46,0.2,0.1,+0.1,+1.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Albeta,,DF,Villarreal,21-116,2001,1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,4f3341b5,7a7bef84,0,0,,,,0,,0.0,0.0,2,4,15,15,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,5,0,2,2,1,0,5,0,0,0,0,2,0,7,,0,1,7,4,0.00,0,0,0,+1.65,0.1,0.2,-0.1,-1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainhoa Alguacil,,"MF,FW",Valencia,16-334,2006,6,4,296,0,1,0,0,0,0,0,0.0,0.0,0.5,450dbe8a,f96ff499,1,0,0.00,,31.6,0,0.02,0.0,0.0,70,96,1246,374,0.4,+0.5,10,6,5,2,11,14,13,0,1,0,0,0,2,2,0,0,0,0,0,3,2,2,1,0,1,2,1,4,0,4,1,4,2,0,128,5,24,61,45,3,128,3,3,11,11,80,12,49,61,0,2,27,1,0.67,3,3,0,-0.39,1.9,3.9,-2.0,-1.13,0,1,4,0,3,2,0,0,0,26,0,1,0
María Alharilla Casado,es ESP,"DF,MF",Levante,32-025,1990,3,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,9581d587,0f4738a8,1,0,0.00,,31.4,0,0.02,0.0,0.0,49,61,744,362,0.0,0.0,0,5,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,1,3,3,3,4,1,2,0,2,2,9,3,0,79,4,15,40,24,1,79,0,2,2,1,32,5,33,,0,3,33,1,3.00,7,1,+6,+4.39,4.3,0.8,+3.4,+1.97,0,0,1,0,1,4,0,0,0,9,0,0,0
Carmen Álvarez,,"FW,MF",Real Betis,19-287,2003,11,6,495,0,0,0,0,0,0,0,0.7,0.7,0.2,66c60fdc,74142337,10,1,0.00,0.00,18.2,0,0.07,-0.7,-0.7,57,91,874,216,0.1,-0.2,4,6,0,0,6,7,4,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,2,2,2,0,2,0,2,0,0,158,1,8,82,71,22,158,3,10,36,12,115,18,45,56,1,5,32,,0.91,2,15,-13,-2.36,1.9,13.3,-11.5,-0.92,0,2,4,3,0,1,0,0,0,13,14,18,0
Ruth Álvarez,,"DF,MF",Madrid CFF,22-186,2000,6,3,245,0,1,0,0,0,0,0,0.1,0.1,0.4,a9d8cb9c,89818574,2,0,0.00,,18.9,0,0.03,-0.1,-0.1,124,154,2162,832,0.3,+0.6,4,10,6,2,15,7,6,1,0,0,0,0,2,2,0,0,0,0,0,7,5,2,5,0,3,4,1,5,1,4,4,11,3,0,181,4,37,96,49,3,181,0,0,6,1,99,10,41,75,1,3,7,4,1.67,5,5,0,-0.85,3.1,2.0,+1.1,-0.13,0,2,0,0,10,5,0,0,0,19,3,1,0
Jone Amezaga,,FW,Athletic Club,17-340,2005,6,5,384,3,0,3,0,0,0,0,2.6,2.6,0.1,7403b395,94929c05,13,4,0.23,0.75,14.2,0,0.20,+0.4,+0.4,47,65,576,56,0.0,-0.1,2,1,0,0,1,6,2,0,0,2,1,1,0,0,0,0,0,0,0,8,6,2,2,4,0,2,2,4,1,3,3,11,1,0,140,1,10,52,83,15,140,3,15,28,12,87,20,64,70,1,1,32,,1.50,9,6,+3,+1.74,6.6,6.2,+0.4,+0.69,0,4,6,2,4,6,0,0,0,19,2,4,0
Amparito,,"DF,MF",Sevilla,25-293,1997,1,0,13,0,0,0,0,0,0,0,0.0,0.0,0.0,9bb5b11c,215d9026,0,0,,,,0,,0.0,0.0,5,7,82,32,0.1,0.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,3,0,0,0,0,1,0,0,9,0,1,6,2,1,9,0,0,1,0,8,2,13,,0,1,13,5,3.00,0,0,0,+0.09,0.5,0.0,+0.5,+3.21,0,0,1,0,0,0,0,0,0,1,0,0,0
Nataša Andonova,mk MKD,"FW,MF",Levante,29-004,1993,10,10,830,5,2,5,0,0,1,0,2.8,2.8,2.1,c9ef783a,0f4738a8,22,9,0.23,0.56,16.9,2,0.13,+2.2,+2.2,237,341,3840,948,2.6,-0.1,15,22,12,3,20,34,19,7,2,3,2,1,3,3,0,0,0,0,0,23,11,3,10,10,8,14,6,5,0,5,4,27,1,0,443,1,35,181,229,40,443,10,15,24,25,294,48,83,83,5,0,,,2.00,20,13,+7,-4.30,16.1,8.0,+8.1,-2.83,0,22,14,4,32,11,0,0,0,41,10,5,0
Ivana Andrés,es ESP,DF,Real Madrid,28-148,1994,7,7,630,0,1,0,0,0,1,0,0.2,0.2,0.4,d0309b28,54582b93,2,0,0.00,,10.1,0,0.12,-0.2,-0.2,356,399,7887,3202,0.0,+0.6,2,26,0,0,20,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,1,2,3,1,8,5,3,13,17,19,0,457,57,252,195,11,3,457,0,1,5,2,290,0,90,90,7,0,,3,2.71,24,4,+20,+2.52,13.1,4.8,+8.2,+1.90,0,7,6,0,0,4,0,0,0,50,4,3,0
Angy,,MF,Valencia,25-293,1997,1,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,fe3d54bb,f96ff499,0,0,,,,0,,0.0,0.0,2,2,40,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,2,0,5,,0,1,5,6,3.00,0,0,0,-0.27,0.4,0.0,+0.4,+6.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonia,br BRA,DF,Levante,28-226,1994,8,8,662,0,1,0,0,0,1,0,0.3,0.3,0.8,e73e06bc,0f4738a8,4,2,0.00,0.00,26.9,0,0.06,-0.3,-0.3,288,416,5930,2791,0.5,+0.2,9,27,6,4,26,22,16,3,2,1,0,0,2,2,0,0,0,0,0,32,26,17,13,2,14,22,8,15,0,15,30,62,15,1,518,26,161,246,118,8,518,9,15,9,10,226,14,83,83,4,0,,,2.13,14,9,+5,-2.34,11.8,6.0,+5.8,-1.63,0,4,8,1,20,26,0,0,0,45,4,6,0
Arola Aparicio,,"DF,MF",Sevilla,25-075,1997,10,3,345,0,0,0,0,0,0,0,0.0,0.0,0.3,83f1bd99,215d9026,1,0,0.00,,26.4,0,0.03,0.0,0.0,112,166,1846,877,0.5,-0.3,3,6,4,3,10,7,5,0,0,0,1,1,0,0,0,0,0,0,0,8,6,6,0,2,5,10,5,4,0,4,10,18,5,0,233,7,58,90,91,6,233,6,19,19,6,98,9,35,73,0,7,18,1,1.20,5,6,-1,-0.26,6.8,6.2,+0.6,-0.24,0,1,4,2,10,6,0,0,0,27,6,1,0
Paula Arana,,"FW,MF",Athletic Club,21-030,2001,9,5,489,1,0,1,0,0,0,0,0.7,0.7,0.1,008c802c,94929c05,13,3,0.08,0.33,20.3,0,0.05,+0.3,+0.3,104,170,1695,407,0.2,-0.1,3,9,5,2,11,10,7,0,0,1,2,0,0,0,0,0,0,0,0,22,9,14,5,3,6,16,10,6,0,6,3,25,5,0,256,3,46,117,97,10,256,5,17,21,8,151,22,54,76,0,4,27,2,1.11,6,14,-8,-2.19,3.6,8.1,-4.4,-0.97,0,4,5,0,17,9,0,0,0,39,8,11,0
Karen Araya,cl CHI,"MF,DF",Madrid CFF,32-053,1990,10,3,313,0,0,0,0,0,1,0,0.2,0.2,0.5,c464f93a,89818574,8,3,0.00,0.00,28.6,0,0.03,-0.2,-0.2,105,169,2034,1026,0.6,-0.5,5,15,1,0,18,10,6,3,1,0,0,0,1,1,0,0,0,0,0,13,10,4,7,2,6,11,5,3,1,2,4,17,4,1,212,8,59,95,62,2,212,3,3,9,8,106,11,31,72,1,7,14,1,2.20,6,7,-1,-1.35,4.6,4.9,-0.3,-0.87,0,4,2,0,14,10,0,0,0,43,5,4,0
Carla Armengol,es ESP,"FW,MF",Alavés,24-250,1998,11,8,597,1,0,1,0,0,0,0,0.5,0.5,0.0,25f540ad,aa11fb42,7,4,0.14,0.25,18.1,0,0.07,+0.5,+0.5,64,103,1032,294,0.2,0.0,0,3,3,2,4,3,2,0,1,0,0,0,2,1,0,1,0,0,0,4,3,2,2,0,1,5,4,6,0,6,3,7,4,0,164,3,24,74,68,12,164,2,9,18,5,109,16,54,71,2,3,10,,0.55,5,16,-11,+1.09,4.1,12.6,-8.5,+0.07,0,10,15,4,5,3,0,0,0,17,0,1,0
Iris Arnaiz Gil,es ESP,"MF,DF",Real Sociedad,28-204,1994,7,6,559,0,0,0,0,0,2,0,0.0,0.0,0.3,aec17e23,c21f25d3,2,1,0.00,0.00,32.5,0,0.02,0.0,0.0,309,367,5510,2183,0.2,-0.3,2,29,3,0,32,6,5,0,0,0,0,1,2,2,0,0,0,0,0,14,6,4,8,2,3,4,1,4,2,2,12,26,15,0,423,34,147,254,25,1,423,2,3,2,3,265,7,80,88,4,1,32,4,1.57,12,8,+4,-0.61,10.6,7.3,+3.3,-0.40,0,2,5,0,1,6,0,0,0,42,13,3,0
Daniela Arques,,MF,Alhama,16-262,2006,10,6,570,0,0,0,0,0,2,0,0.4,0.4,0.1,8f83b165,e9fecaf2,8,3,0.00,0.00,22.1,0,0.05,-0.4,-0.4,80,171,1762,917,0.1,-0.1,2,16,5,1,13,5,2,1,1,0,0,1,0,0,0,0,0,0,0,20,16,6,12,2,8,21,13,11,4,7,12,32,10,0,250,22,87,128,37,5,250,5,10,4,9,87,4,57,81,3,4,22,,0.30,3,15,-12,-0.82,3.3,11.0,-7.7,-1.05,0,15,6,0,4,16,0,0,0,58,5,7,0
Eunate Arraiza,es ESP,FW,Athletic Club,31-188,1991,7,2,198,0,0,0,0,0,0,0,0.2,0.2,0.1,7685f89a,94929c05,4,1,0.00,0.00,20.6,1,0.04,-0.2,-0.2,37,61,607,249,0.1,-0.1,1,3,0,0,4,4,0,3,0,0,1,0,0,0,0,0,0,0,0,6,4,4,2,0,2,5,3,4,2,2,3,9,4,0,91,2,28,39,24,3,91,1,2,5,2,44,5,28,67,0,5,13,4,1.86,2,5,-3,-1.25,1.3,3.9,-2.6,-1.08,0,1,2,2,5,4,0,0,0,12,3,2,0
Grace Asantewaa,gh GHA,"MF,FW",Real Betis,22-003,2000,11,9,732,0,2,0,0,0,2,0,0.5,0.5,0.5,0a12ad6e,74142337,19,6,0.00,0.00,28.5,0,0.03,-0.5,-0.5,176,217,3375,725,0.5,+1.5,5,20,2,0,19,12,10,0,0,1,0,1,3,3,0,0,0,0,0,11,8,6,2,3,6,7,1,7,1,6,6,17,7,0,313,7,52,179,84,6,313,8,15,24,11,192,28,67,71,2,2,45,,0.91,10,19,-9,+0.29,5.0,17.9,-12.9,+0.17,0,10,15,1,1,8,0,0,0,63,10,10,0
Chelsea Ashurst,,GK,Sporting Huelva,32-230,1990,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,e24c4452,27acb0af,0,0,,,,0,,0.0,0.0,59,117,2310,1952,0.0,0.0,0,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,1,3,0,129,115,128,2,0,0,129,0,0,0,0,16,0,90,90,4,0,,6,1.00,1,7,-6,-0.79,2.2,6.8,-4.7,-0.08,0,0,1,0,0,0,0,0,0,5,1,0,0
María Asunción Quiñones,es ESP,GK,Athletic Club,26-040,1996,11,11,990,0,0,0,0,0,0,0,0.0,0.0,0.0,55ff64ce,94929c05,0,0,,,,0,,0.0,0.0,295,402,7668,5125,0.0,0.0,0,3,0,0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,1,442,400,437,5,0,0,442,0,0,1,0,158,0,90,90,11,0,,,1.18,16,20,-4,,11.1,14.7,-3.6,,0,0,4,0,0,0,0,0,0,9,1,0,0
Cristina Auñón,,DF,Alavés,33-260,1989,10,9,786,2,2,2,0,0,4,0,0.3,0.3,0.5,1c279d7d,aa11fb42,4,2,0.50,1.00,21.1,0,0.09,+1.7,+1.7,201,298,3177,1670,0.2,+1.5,4,13,0,0,11,6,5,1,0,0,0,0,2,2,0,0,0,0,0,26,16,14,8,4,9,14,5,9,4,5,12,38,22,0,388,38,158,152,85,4,388,3,9,14,7,113,4,79,86,6,1,11,,0.60,9,28,-19,-0.41,6.1,17.5,-11.3,+0.10,0,11,8,0,13,16,0,1,0,52,2,4,0
Ane Azkona,es ESP,FW,Athletic Club,24-146,1998,11,10,905,2,1,2,0,0,2,0,1.9,1.9,1.8,2dfa2aa3,94929c05,13,6,0.15,0.33,14.1,0,0.15,+0.1,+0.1,121,199,1862,470,1.7,-0.8,15,12,12,3,21,26,23,0,2,1,0,0,1,1,0,0,0,0,0,8,4,3,4,1,1,1,0,5,0,5,2,10,4,0,292,5,37,121,139,31,292,12,22,29,13,179,41,82,86,8,1,45,,1.18,15,20,-5,-1.56,10.1,12.9,-2.8,+0.48,0,15,8,12,13,4,0,0,0,34,6,14,0
Alba Aznar,,"MF,FW",Alavés,29-097,1993,2,0,44,0,0,0,0,0,0,0,0.0,0.0,0.1,f7f6c62c,aa11fb42,1,1,0.00,0.00,25.9,0,0.04,0.0,0.0,15,19,267,99,0.2,-0.1,1,2,2,0,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,1,0,1,2,4,0,0,31,0,6,15,10,6,31,0,2,2,2,19,2,22,,0,2,22,,0.00,1,4,-3,-4.23,2.3,1.5,+0.8,+3.00,0,0,0,0,0,1,0,0,0,4,0,0,0
Rinsola Babajide,eng ENG,"FW,MF",Real Betis,24-174,1998,11,10,841,3,1,3,0,0,4,0,0.7,0.7,0.6,ca9f6f0a,74142337,19,11,0.16,0.27,22.8,0,0.04,+2.3,+2.3,126,188,2052,323,0.5,+0.4,10,9,2,1,10,20,13,0,3,2,2,0,3,1,0,1,0,1,0,16,11,1,14,1,3,6,3,5,2,3,4,20,6,0,323,8,31,154,142,26,323,12,30,41,30,209,51,76,80,3,1,45,,0.91,13,23,-10,+0.74,5.9,21.2,-15.3,-0.10,0,16,16,2,18,11,0,0,1,43,2,24,0
Doris Bačić,hr CRO,GK,Levante Planas,27-288,1995,10,10,900,0,0,0,0,0,0,0,0.0,0.0,0.0,ae754f28,753b93a5,0,0,,,,0,,0.0,0.0,223,332,6180,4658,0.0,0.0,0,5,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0,0,1,4,0,372,361,371,1,0,0,372,0,0,1,0,102,0,90,90,10,0,,,0.80,11,24,-13,+1.70,9.5,18.0,-8.5,+2.12,0,0,1,0,0,1,0,0,0,8,0,0,0
Linda Bakker,nl NED,FW,Valencia,29-298,1993,2,2,117,1,0,1,0,0,0,0,0.3,0.3,0.7,9a13ac27,f96ff499,2,1,0.50,1.00,17.2,0,0.15,+0.7,+0.7,13,18,228,91,0.3,-0.7,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,27,0,1,16,10,3,27,0,0,0,2,15,2,59,59,0,0,,6,1.50,3,0,+3,+2.31,2.5,0.6,+2.0,+1.54,0,0,1,2,0,1,0,0,0,3,0,1,0
Patrycja Balcerzak,pl POL,"MF,DF",Sporting Huelva,28-341,1994,9,7,645,1,0,1,0,0,2,0,0.2,0.2,0.1,8d9be8cd,27acb0af,3,2,0.33,0.50,23.1,0,0.08,+0.8,+0.8,103,181,2056,974,0.0,-0.1,2,12,0,0,13,7,5,0,0,1,1,0,0,0,0,0,0,0,0,12,6,5,6,1,4,10,6,7,2,5,5,17,15,0,244,23,76,143,27,2,244,0,2,7,2,86,6,72,86,6,2,22,2,1.22,6,15,-9,-0.73,4.5,13.0,-8.5,-0.21,0,17,6,0,0,6,0,0,0,47,12,8,0
Laia Ballesté,,"DF,FW",Sporting Huelva,23-077,1999,6,5,450,1,0,1,0,0,0,0,0.2,0.2,0.2,4769f6f1,27acb0af,1,1,1.00,1.00,7.5,0,0.24,+0.8,+0.8,62,123,1580,991,0.1,-0.2,2,7,1,0,8,4,1,3,0,0,0,0,0,0,0,0,0,0,0,7,5,6,1,0,5,11,6,5,2,3,4,11,12,0,158,22,94,61,5,1,158,0,0,3,1,49,0,75,81,4,1,45,5,0.67,5,15,-10,-1.83,3.6,13.0,-9.4,-1.42,0,5,2,0,3,5,0,0,0,21,2,2,0
Estefanía Banini,ar ARG,"MF,FW",Atlético Madrid,32-170,1990,11,7,589,1,1,1,0,0,0,0,1.1,1.1,1.8,109f5c4c,b56c2667,13,7,0.08,0.14,19.6,1,0.08,-0.1,-0.1,315,388,5077,1528,0.5,-0.8,11,40,14,2,35,19,16,2,1,0,0,0,2,2,0,0,0,0,0,5,5,2,3,0,0,1,1,2,0,2,4,9,3,0,444,3,49,234,164,12,444,13,18,9,11,323,23,54,70,2,4,24,,2.09,12,7,+5,+0.09,13.8,4.9,+8.9,+1.02,0,1,4,1,22,5,0,0,0,48,1,2,0
Leire Baños,es ESP,MF,Levante,26-009,1996,11,11,963,0,0,0,0,0,2,0,0.5,0.5,0.7,3d077d16,0f4738a8,14,4,0.00,0.00,25.1,0,0.04,-0.5,-0.5,477,588,9044,2418,1.1,-0.7,3,42,7,0,33,18,16,0,0,1,1,0,4,4,0,0,0,0,0,18,9,2,13,3,9,10,1,11,1,10,15,33,10,0,693,22,175,439,81,5,693,3,3,19,8,456,14,88,88,9,0,,,2.09,29,14,+15,-1.93,23.2,9.1,+14.1,-0.61,0,12,5,0,7,9,0,0,0,70,12,12,0
Ainize Barea Núñez,es ESP,"FW,MF",Athletic Club,30-317,1992,11,7,650,2,0,2,0,0,0,0,1.5,1.5,0.6,08137080,94929c05,15,8,0.13,0.25,20.7,0,0.10,+0.5,+0.5,99,149,1458,178,0.5,-0.6,9,4,5,3,4,13,11,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,3,3,3,0,3,3,6,3,0,219,4,20,80,121,19,219,2,8,28,10,147,29,59,77,2,4,28,,1.18,13,10,+3,+2.27,9.0,7.9,+1.0,+1.36,0,3,3,0,14,1,0,0,0,26,2,10,0
Beatriz Beltrán,,DF,Valencia,24-363,1997,9,8,704,0,0,0,0,0,0,0,0.3,0.3,0.9,46f6d3ed,f96ff499,8,4,0.00,0.00,28.7,3,0.04,-0.3,-0.3,251,436,4529,2893,0.6,-0.9,13,26,0,0,21,22,11,10,1,0,0,0,0,0,0,0,0,0,0,20,11,15,3,2,4,7,3,12,0,12,19,39,13,0,525,31,220,204,111,5,525,3,13,12,5,197,10,78,85,5,1,25,,1.67,10,6,+4,+0.83,10.6,7.5,+3.1,+0.75,0,3,7,0,25,11,0,0,0,44,4,4,0
Vicky Benítez,,"DF,MF",Real Betis,22-090,2000,7,2,259,0,0,0,0,0,0,0,0.6,0.6,0.0,7b839abb,74142337,3,0,0.00,,10.3,0,0.20,-0.6,-0.6,59,92,1233,642,0.2,0.0,2,8,4,2,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,11,5,8,3,0,10,10,0,5,3,2,3,14,3,0,124,15,65,42,17,3,124,2,3,1,1,48,2,37,68,1,5,25,3,0.86,4,8,-4,-0.28,3.1,7.0,-3.9,+0.35,0,0,2,0,3,5,0,0,0,14,3,4,0
Alejandra Bernabe,es ESP,DF,Real Sociedad,21-026,2001,10,10,807,0,1,0,0,0,1,0,0.3,0.3,0.8,daeee8a9,c21f25d3,5,4,0.00,0.00,16.1,0,0.07,-0.3,-0.3,419,538,6261,2258,1.1,+0.2,14,18,10,3,32,30,22,3,4,0,1,0,2,2,0,0,0,0,0,14,9,5,7,2,5,9,4,9,1,8,14,28,7,0,643,13,171,269,208,20,643,17,38,28,16,353,44,81,81,5,0,,,1.90,17,8,+9,+0.51,14.3,8.2,+6.1,-0.17,0,9,15,2,21,9,0,0,0,84,8,6,0
Claudia Blanco,,"FW,DF",UDG Tenerife,25-272,1997,9,6,505,0,0,0,0,0,3,0,0.1,0.1,0.1,38807c65,4c088abe,4,2,0.00,0.00,34.4,0,0.02,-0.1,-0.1,114,183,2163,1120,0.2,-0.1,3,11,4,3,9,6,5,1,0,0,0,0,0,0,0,0,0,0,0,13,7,8,5,0,5,8,3,11,2,9,3,16,8,0,245,14,73,109,66,2,245,3,8,5,7,104,11,56,70,1,3,29,1,1.33,5,6,-1,+0.28,4.9,6.6,-1.7,-0.47,0,6,7,0,12,7,0,1,0,33,3,8,0
Laura Blasco,,DF,Sporting Huelva,19-354,2002,1,0,45,0,0,0,0,0,0,0,0.0,0.0,0.0,784375f4,27acb0af,0,0,,,,0,,0.0,0.0,10,15,146,66,0.0,0.0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,16,1,3,10,3,0,16,0,0,0,0,11,0,45,,0,1,45,5,0.00,0,4,-4,-7.33,0.0,3.2,-3.2,-5.51,0,0,0,0,0,0,0,0,0,1,0,0,0
Jassina Blom,be BEL,"FW,MF",UDG Tenerife,28-096,1994,9,7,522,3,0,3,0,0,1,0,2.0,2.0,0.1,c87ba39a,4c088abe,19,11,0.16,0.27,17.1,0,0.10,+1.0,+1.0,57,109,898,231,0.5,-0.1,2,8,4,0,8,9,6,1,0,0,2,0,1,1,0,0,0,0,0,2,2,0,0,2,0,2,2,4,1,3,1,3,2,0,182,2,12,75,98,24,182,4,10,22,6,116,21,58,69,2,2,19,,1.33,6,7,-1,+0.30,5.3,5.2,0.0,+0.24,0,6,8,3,6,2,0,0,0,19,8,16,0
Jade Boho,gq EQG,FW,Alhama,36-100,1986,10,9,850,3,0,3,0,0,1,0,1.8,1.8,0.4,2b721e60,e9fecaf2,24,9,0.13,0.33,17.8,1,0.08,+1.2,+1.2,135,234,2196,382,0.7,-0.4,6,10,5,2,11,21,15,0,0,4,2,0,0,0,0,0,0,0,0,7,3,2,4,1,1,2,1,7,3,4,2,9,5,0,326,10,19,152,156,40,326,2,5,32,13,218,50,85,89,8,1,45,,0.00,4,17,-13,+1.19,7.0,13.2,-6.2,+0.83,0,13,10,16,21,3,0,0,0,22,32,33,0
