Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp
Lina Magull,de GER,"MF,FW",Bayern Munich,28-115,1994,7,5,400,2,0,2,0,0,0,0,1.7,1.7,0.1,3cd04ba1,51ec22be,16,7,0.13,0.29,18.2,3,0.11,+0.3,+0.3,0,198,2520,552,0.3,-0.1,2,12,5,1,16,8,6,1,0,0,1,0,1,1,0,0,0,0,0,7,3,2,3,2,3,9,6,2,0,2,7,14,0,0,255,2,33,124,99,22,255,5,8,12,7,187,30,13,,0,1,13,6,3.00,0,0,0,-0.11,0.2,0.2,0.0,+0.35,0,3,10,2,9,3,0,0,0,19,2,6,163
Ena Mahmutovic,de GER,GK,MSV Duisburg,18-350,2003,8,8,720,0,0,0,0,0,0,0,0.0,0.0,0.0,a184766b,0580d9a9,0,0,,,,0,,0.0,0.0,0,383,7384,6042,0.0,0.0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,414,360,410,4,0,0,414,0,0,1,0,118,0,82,82,3,0,,0,1.33,14,12,+2,+1.43,12.7,9.4,+3.3,+0.14,0,0,0,0,0,0,0,0,0,18,7,0,219
Ramona Maier,de GER,FW,Essen,27-080,1995,8,5,510,1,0,1,0,0,0,0,2.8,2.8,0.4,7f2c8da2,becc1dd0,14,6,0.07,0.17,13.0,0,0.20,-1.8,-1.8,0,117,1125,363,0.6,-0.4,8,10,5,2,16,14,9,0,1,1,2,1,3,1,0,1,1,0,0,7,5,0,4,3,1,8,7,8,0,8,0,7,1,0,199,1,11,81,111,27,199,5,18,26,19,122,27,60,65,0,1,20,1,1.88,17,8,+9,+1.97,10.4,7.2,+3.2,+0.14,0,12,8,0,3,5,0,0,0,21,6,9,69
Kristina Maksuti,al ALB,FW,SV Meppen,29-305,1993,9,9,674,1,0,1,0,0,2,0,0.8,0.8,0.1,3f625299,4ed1418c,17,8,0.06,0.13,20.6,1,0.05,+0.2,+0.2,0,216,1576,438,0.2,-0.1,3,11,3,0,12,11,7,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,3,1,1,0,0,2,4,0,285,5,23,167,97,22,285,1,4,25,9,229,30,,,0,0,,1,,,,,,,,,,0,16,20,6,1,1,0,0,0,22,25,17,108
Anna Margraf,au AUS,FW,SV Meppen,21-215,2001,9,6,558,1,0,1,0,0,1,0,0.7,0.7,0.2,53836ede,4ed1418c,10,6,0.10,0.17,18.3,0,0.07,+0.3,+0.3,0,128,1050,320,0.1,-0.2,5,5,1,1,6,8,6,0,2,0,0,0,1,0,0,1,0,0,0,7,4,6,1,0,5,11,6,6,1,5,3,10,3,0,206,7,43,93,72,11,206,4,11,22,9,106,24,47,66,1,4,28,0,1.63,10,5,+5,+2.03,6.8,7.3,-0.4,+0.35,0,4,1,2,11,4,0,0,0,40,4,11,66
Lara Marti,ch SUI,DF,Leverkusen,23-078,1999,5,5,450,0,1,0,0,0,1,0,0.1,0.1,0.1,e22dd915,c6d4860a,3,0,0.00,,27.8,0,0.03,-0.1,-0.1,0,391,5271,2203,0.1,+0.9,2,29,2,2,16,8,4,2,0,2,0,0,1,1,0,0,0,0,0,10,7,7,1,2,7,9,2,6,2,4,9,19,8,0,443,11,148,202,95,1,443,3,9,10,4,245,5,7,,0,5,7,3,2.40,1,1,0,-0.82,0.2,0.8,-0.5,-2.37,0,4,1,0,13,7,0,0,0,37,2,0,297
Shekiera Martinez,de GER,FW,E. Frankfurt,21-157,2001,7,1,222,4,0,4,0,0,0,0,1.3,1.3,0.5,7fe47b81,97b7c0e8,9,4,0.44,1.00,13.7,0,0.15,+2.7,+2.7,0,81,814,266,0.8,-0.5,2,2,5,4,7,6,3,0,2,0,0,1,2,1,0,1,0,0,0,4,2,2,0,2,0,0,0,2,0,2,0,4,2,0,112,3,6,43,64,9,112,4,7,9,8,79,24,50,70,2,3,12,0,0.78,2,15,-13,-1.31,5.6,9.3,-3.7,-0.51,0,1,0,3,9,2,0,0,0,6,3,3,52
Saskia Matheis,de GER,"MF,FW",Werder Bremen,25-185,1997,9,7,644,1,0,1,0,0,2,0,0.5,0.5,0.2,483ad3df,7adbf480,15,7,0.07,0.14,26.5,0,0.04,+0.5,+0.5,0,220,2388,894,0.6,-0.2,3,16,5,2,25,10,6,2,0,2,0,0,0,0,0,0,0,0,0,23,12,6,15,2,12,19,7,12,1,11,7,30,9,0,321,13,68,173,85,7,321,2,5,16,11,152,20,36,73,1,6,17,0,1.78,10,6,+4,+1.68,5.7,5.5,+0.2,+0.58,0,11,3,1,20,12,0,0,0,49,9,3,125
Sylwia Matysik,pl POL,DF,Leverkusen,25-202,1997,4,4,287,0,0,0,0,0,2,0,0.1,0.1,0.2,b2d4690f,c6d4860a,1,0,0.00,,17.9,0,0.08,-0.1,-0.1,0,208,2404,1092,0.3,-0.2,2,10,4,2,19,4,3,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,3,1,1,1,0,8,2,6,3,7,10,0,243,9,75,114,55,1,243,2,6,3,2,112,5,49,71,1,3,12,1,2.75,8,0,+8,-0.92,7.2,1.9,+5.3,-0.54,0,5,3,0,9,3,0,0,0,22,2,1,136
Wibke Meister,de GER,DF,Turbine Potsdam,27-271,1995,8,5,520,0,0,0,0,0,0,0,0.0,0.0,0.2,2d505124,de550500,0,0,,,,0,,0.0,0.0,0,285,3558,1611,0.3,-0.2,2,16,1,0,10,6,5,1,0,0,0,0,0,0,0,0,0,0,0,13,8,8,3,2,7,9,2,11,5,6,5,18,20,1,335,38,170,121,47,0,335,2,4,4,2,127,0,20,67,0,5,11,2,2.17,3,2,+1,-0.05,1.1,1.6,-0.5,-1.50,0,1,4,0,3,8,0,0,0,30,4,4,180
